% LSTM training log (multiclass, tag=usc_had)
% Generated: 2026-04-06 02:44:22
% Early stop: multiclass LSTM (usc_had) validation accuracy reached 90.00% at epoch 12 (target 90.00%).
% MiniBatchSize: 128
% MaxEpochs (requested): 12
% Columns: iteration, epoch, trainingLoss, validationLoss, trainingAccuracy, validationAccuracy, learningRate
1	1	2.48827	2.31236	6.25	25.4429	0.001
2	1	2.30856	NaN	25.7812	NaN	0.001
3	1	2.27398	NaN	23.4375	NaN	0.001
4	1	2.14626	NaN	28.9062	NaN	0.001
5	1	2.03173	NaN	30.4688	NaN	0.001
6	1	2.11289	NaN	29.6875	NaN	0.001
7	1	1.93466	NaN	34.375	NaN	0.001
8	1	1.86682	NaN	33.5938	NaN	0.001
9	1	1.87868	NaN	33.5938	NaN	0.001
10	1	1.90675	NaN	34.375	NaN	0.001
11	1	1.78945	NaN	33.5938	NaN	0.001
12	1	1.80575	NaN	33.5938	NaN	0.001
13	1	1.82388	NaN	32.0312	NaN	0.001
14	1	1.88702	NaN	33.5938	NaN	0.001
15	1	1.63494	NaN	39.0625	NaN	0.001
16	1	1.65716	NaN	39.8438	NaN	0.001
17	1	1.70588	NaN	35.1562	NaN	0.001
18	1	1.66575	NaN	37.5	NaN	0.001
19	1	1.72086	NaN	37.5	NaN	0.001
20	1	1.71805	NaN	37.5	NaN	0.001
21	1	1.6162	NaN	45.3125	NaN	0.001
22	1	1.60485	NaN	45.3125	NaN	0.001
23	1	1.54002	NaN	46.0938	NaN	0.001
24	1	1.64649	NaN	41.4062	NaN	0.001
25	1	1.5078	NaN	46.0938	NaN	0.001
26	1	1.5606	NaN	42.1875	NaN	0.001
27	1	1.60779	NaN	39.8438	NaN	0.001
28	1	1.60673	NaN	46.0938	NaN	0.001
29	1	1.57209	NaN	42.1875	NaN	0.001
30	1	1.37604	NaN	50	NaN	0.001
31	1	1.53195	NaN	43.75	NaN	0.001
32	1	1.35732	NaN	50.7812	NaN	0.001
33	1	1.59071	NaN	42.1875	NaN	0.001
34	1	1.40143	NaN	44.5312	NaN	0.001
35	1	1.4257	NaN	44.5312	NaN	0.001
36	1	1.46526	NaN	42.9688	NaN	0.001
37	1	1.34744	NaN	52.3438	NaN	0.001
38	1	1.31248	NaN	50.7812	NaN	0.001
39	1	1.43383	NaN	46.0938	NaN	0.001
40	1	1.35213	NaN	53.125	NaN	0.001
41	1	1.32176	NaN	48.4375	NaN	0.001
42	1	1.27619	NaN	48.4375	NaN	0.001
43	1	1.22692	NaN	55.4688	NaN	0.001
44	1	1.54729	NaN	43.75	NaN	0.001
45	1	1.10416	NaN	61.7188	NaN	0.001
46	1	1.39749	NaN	44.5312	NaN	0.001
47	1	1.30268	NaN	47.6562	NaN	0.001
48	1	1.28406	NaN	50	NaN	0.001
49	1	1.15098	NaN	57.0312	NaN	0.001
50	1	1.26942	NaN	49.2188	NaN	0.001
51	1	1.10256	NaN	55.4688	NaN	0.001
52	1	1.22811	NaN	47.6562	NaN	0.001
53	1	1.40702	NaN	46.875	NaN	0.001
54	1	1.31518	NaN	49.2188	NaN	0.001
55	1	1.12528	NaN	57.0312	NaN	0.001
56	1	1.28709	NaN	49.2188	NaN	0.001
57	1	1.19842	NaN	54.6875	NaN	0.001
58	1	1.12755	NaN	52.3438	NaN	0.001
59	1	1.16045	NaN	50.7812	NaN	0.001
60	1	1.19037	NaN	50.7812	NaN	0.001
61	1	1.3929	NaN	44.5312	NaN	0.001
62	1	1.16112	NaN	59.375	NaN	0.001
63	1	1.15478	NaN	53.125	NaN	0.001
64	1	1.08155	NaN	56.25	NaN	0.001
65	1	1.07408	NaN	64.8438	NaN	0.001
66	1	1.01635	NaN	60.9375	NaN	0.001
67	1	1.18458	NaN	50	NaN	0.001
68	1	1.13704	NaN	50.7812	NaN	0.001
69	1	1.23164	NaN	42.9688	NaN	0.001
70	1	1.12353	NaN	49.2188	NaN	0.001
71	1	1.06253	NaN	58.5938	NaN	0.001
72	1	1.21696	NaN	48.4375	NaN	0.001
73	1	1.18545	NaN	49.2188	NaN	0.001
74	1	1.13716	NaN	57.0312	NaN	0.001
75	1	1.18603	NaN	48.4375	NaN	0.001
76	1	1.167	NaN	54.6875	NaN	0.001
77	1	1.07226	NaN	57.0312	NaN	0.001
78	1	1.01927	NaN	57.0312	NaN	0.001
79	1	1.01591	NaN	64.0625	NaN	0.001
80	1	1.01827	NaN	62.5	NaN	0.001
81	1	1.19893	NaN	56.25	NaN	0.001
82	1	1.03548	NaN	64.8438	NaN	0.001
83	1	0.925351	NaN	61.7188	NaN	0.001
84	1	0.93091	NaN	71.0938	NaN	0.001
85	1	0.996812	NaN	60.1562	NaN	0.001
86	1	1.04193	NaN	54.6875	NaN	0.001
87	1	1.05116	NaN	56.25	NaN	0.001
88	1	1.34361	NaN	45.3125	NaN	0.001
89	1	1.17224	NaN	49.2188	NaN	0.001
90	1	1.30923	NaN	53.125	NaN	0.001
91	1	0.972569	NaN	61.7188	NaN	0.001
92	1	0.986984	NaN	61.7188	NaN	0.001
93	1	1.11849	NaN	57.8125	NaN	0.001
94	1	0.970474	NaN	65.625	NaN	0.001
95	1	1.17254	NaN	55.4688	NaN	0.001
96	1	1.25808	NaN	52.3438	NaN	0.001
97	1	1.10157	NaN	57.8125	NaN	0.001
98	1	1.24852	NaN	51.5625	NaN	0.001
99	1	1.04961	NaN	56.25	NaN	0.001
100	1	1.03372	NaN	57.0312	NaN	0.001
101	1	1.1188	NaN	51.5625	NaN	0.001
102	1	0.915581	NaN	64.0625	NaN	0.001
103	1	1.08176	NaN	62.5	NaN	0.001
104	1	0.97455	NaN	64.8438	NaN	0.001
105	1	1.11355	NaN	60.9375	NaN	0.001
106	1	1.09977	NaN	59.375	NaN	0.001
107	1	1.09655	NaN	57.0312	NaN	0.001
108	1	1.13916	NaN	57.0312	NaN	0.001
109	1	1.11896	NaN	61.7188	NaN	0.001
110	1	0.998033	NaN	62.5	NaN	0.001
111	1	1.01739	NaN	60.1562	NaN	0.001
112	1	0.980336	NaN	62.5	NaN	0.001
113	1	1.03285	NaN	57.8125	NaN	0.001
114	1	1.03937	NaN	60.9375	NaN	0.001
115	1	0.943156	NaN	68.75	NaN	0.001
