time,seconds_elapsed,z,y,x
1758447389057871600,5.41187158203125,0.06143300235271454,0.05132603645324707,-0.31056851148605347
1758447389067843300,5.42184326171875,0.06696838140487671,0.06974126398563385,-0.3432804048061371
1758447389077815600,5.431815673828125,0.07154475897550583,0.05901245400309563,-0.3344738483428955
1758447389087788500,5.44178857421875,0.02407178096473217,0.0923999696969986,-0.32888227701187134
1758447389097760500,5.451760498046875,-0.011632687412202358,0.062180016189813614,-0.3099234998226166
1758447389107732500,5.461732421875,-0.011378088966012001,0.04414935037493706,-0.26404017210006714
1758447389117704400,5.471704345703125,0.007903729565441608,0.1082305982708931,-0.18690970540046692
1758447389127677400,5.481677490234375,0.030940605327486992,0.17037759721279144,-0.11425679922103882
1758447389137649700,5.491649658203125,0.04036633297801018,0.20811964571475983,-0.09388228505849838
1758447389147621400,5.501621337890625,0.06334168463945389,0.2248152643442154,-0.13959065079689026
1758447389157594400,5.511594482421875,0.12859952449798584,0.2752733826637268,-0.22936688363552094
1758447389167566600,5.521566650390625,0.19794343411922455,0.30936717987060547,-0.3261549472808838
1758447389177538300,5.531538330078125,0.2917599380016327,0.5326870679855347,-0.4025897979736328
1758447389187510500,5.541510498046875,0.36274170875549316,0.8130415081977844,-0.5062631964683533
1758447389197483500,5.5514833984375,0.34918808937072754,0.8500826358795166,-0.626351535320282
1758447389207455500,5.56145556640625,0.2533220052719116,0.7779892683029175,-0.7833025455474854
1758447389217427500,5.571427490234375,0.061168547719717026,0.6837884187698364,-0.9832057952880859
1758447389227400400,5.581400390625,-0.17689861357212067,0.5162548422813416,-1.214469313621521
1758447389237372400,5.591372314453125,-0.3574281632900238,0.28448766469955444,-1.4893864393234253
1758447389247344400,5.601344482421875,-0.41355669498443604,0.23340024054050446,-1.811015248298645
1758447389257316600,5.611316650390625,-0.32585588097572327,0.5604915618896484,-2.1470093727111816
1758447389267289300,5.621289306640625,-0.11431512236595154,0.6528145670890808,-2.3766636848449707
1758447389277261600,5.631261474609375,0.14576758444309235,0.4723976254463196,-2.5007734298706055
1758447389287233500,5.641233642578125,0.4048311114311218,-0.13289865851402283,-2.4549756050109863
1758447389297205500,5.65120556640625,0.654904305934906,-1.0833745002746582,-2.174237012863159
1758447389307178500,5.661178466796875,0.7761271595954895,-0.9757638573646545,-2.0420849323272705
1758447389317150700,5.671150634765625,0.7841368913650513,-0.46662256121635437,-1.911734938621521
1758447389327122400,5.681122314453125,0.7118733525276184,0.26490169763565063,-1.7931712865829468
1758447389337095400,5.691095458984375,0.6217429041862488,0.9882985353469849,-1.6296015977859497
1758447389347067600,5.701067626953125,0.5929903388023376,1.483580470085144,-1.3462934494018555
1758447389357039400,5.711039306640625,0.6673340797424316,1.7213882207870483,-0.9419158697128296
1758447389367011600,5.721011474609375,0.8343893885612488,1.8809672594070435,-0.47176459431648254
1758447389376984600,5.730984619140625,1.0883457660675049,2.184420108795166,-0.016096411272883415
1758447389386956500,5.74095654296875,1.4419983625411987,2.7248246669769287,0.39259281754493713
1758447389396928500,5.750928466796875,1.7682400941848755,3.5667314529418945,0.7459181547164917
1758447389406901500,5.760901611328125,1.9242688417434692,4.15351676940918,1.1212615966796875
1758447389416873500,5.77087353515625,1.5193315744400024,4.0460124015808105,1.3908321857452393
1758447389426845400,5.780845458984375,0.1613135188817978,2.642092704772949,1.2172185182571411
1758447389436817400,5.7908173828125,-1.2699925899505615,1.176406979560852,0.9698367118835449
1758447389446790400,5.800790283203125,-1.7480920553207397,1.0383814573287964,1.1061021089553833
1758447389456762600,5.8107626953125,-1.75285804271698,1.5252991914749146,1.1643332242965698
1758447389466734300,5.820734375,-1.5277652740478516,1.3977606296539307,0.9505061507225037
1758447389476707600,5.83070751953125,-1.2810838222503662,0.753454327583313,0.5825278759002686
1758447389486679600,5.840679443359375,-1.1248552799224854,0.12547670304775238,0.3908204734325409
1758447389496651500,5.850651611328125,-1.075484037399292,-0.2646292746067047,0.46167442202568054
