time,seconds_elapsed,z,y,x
1758447383662861800,0.01686181640625,-0.9590606689453125,-0.3909454345703125,-0.03948974609375
1758447383672833800,0.026833740234375,-0.9432220458984375,-0.3936920166015625,-0.0382843017578125
1758447383682805800,0.0368056640625,-0.9176177978515625,-0.400482177734375,-0.0309295654296875
1758447383692778000,0.046778076171875,-0.8889617919921875,-0.407958984375,-0.0223236083984375
1758447383702751000,0.0567509765625,-0.8724365234375,-0.4129791259765625,-0.011199951171875
1758447383712722700,0.06672265625,-0.8581390380859375,-0.41253662109375,-0.00787353515625
1758447383722695000,0.07669482421875,-0.85321044921875,-0.4136505126953125,-0.0105438232421875
1758447383732668000,0.08666796875,-0.856781005859375,-0.4141387939453125,-0.0132293701171875
1758447383742639900,0.096639892578125,-0.863616943359375,-0.411895751953125,-0.015380859375
1758447383752612400,0.1066123046875,-0.8729248046875,-0.4084625244140625,-0.0191497802734375
1758447383762584300,0.116584228515625,-0.88665771484375,-0.404388427734375,-0.0211181640625
1758447383772557300,0.126557373046875,-0.8993377685546875,-0.4012451171875,-0.0189666748046875
1758447383782529300,0.136529296875,-0.9052886962890625,-0.395355224609375,-0.01531982421875
1758447383792501500,0.14650146484375,-0.90728759765625,-0.3910064697265625,-0.01190185546875
1758447383802474200,0.15647412109375,-0.90936279296875,-0.3912353515625,-0.011871337890625
1758447383812446500,0.166446533203125,-0.9123687744140625,-0.394256591796875,-0.0131988525390625
1758447383822418200,0.176418212890625,-0.9115142822265625,-0.3969879150390625,-0.01922607421875
1758447383832391200,0.18639111328125,-0.91094970703125,-0.3994598388671875,-0.026214599609375
1758447383842363400,0.19636328125,-0.9109649658203125,-0.4017486572265625,-0.028717041015625
1758447383852335000,0.206335205078125,-0.9088592529296875,-0.403411865234375,-0.02850341796875
1758447383862307300,0.216307373046875,-0.90692138671875,-0.4027252197265625,-0.0272979736328125
1758447383872280300,0.2262802734375,-0.907867431640625,-0.40008544921875,-0.025238037109375
1758447383882252300,0.236252197265625,-0.9034576416015625,-0.3994598388671875,-0.0234375
1758447383892224300,0.246224365234375,-0.893218994140625,-0.3987884521484375,-0.023834228515625
1758447383902197200,0.256197265625,-0.887939453125,-0.402679443359375,-0.0254058837890625
1758447383912169200,0.266169189453125,-0.889923095703125,-0.4087371826171875,-0.028411865234375
1758447383922141400,0.276141357421875,-0.8948822021484375,-0.4148712158203125,-0.03448486328125
1758447383932113400,0.286113525390625,-0.8994598388671875,-0.413543701171875,-0.0361480712890625
1758447383942086100,0.296086181640625,-0.90386962890625,-0.4091949462890625,-0.034210205078125
1758447383952058400,0.306058349609375,-0.9051055908203125,-0.406158447265625,-0.0271759033203125
1758447383962030300,0.3160302734375,-0.902984619140625,-0.40093994140625,-0.022918701171875
1758447383972003300,0.32600341796875,-0.8982696533203125,-0.402099609375,-0.0277557373046875
1758447383981975300,0.335975341796875,-0.9007568359375,-0.404876708984375,-0.0361328125
1758447383991947500,0.345947509765625,-0.9085693359375,-0.406158447265625,-0.047332763671875
1758447384001919200,0.355919189453125,-0.9191436767578125,-0.4091033935546875,-0.0602874755859375
1758447384011892200,0.365892333984375,-0.9295196533203125,-0.4080657958984375,-0.06976318359375
1758447384021864400,0.375864501953125,-0.933624267578125,-0.40643310546875,-0.0723114013671875
1758447384031836200,0.385836181640625,-0.9310150146484375,-0.4046173095703125,-0.069000244140625
1758447384041809400,0.395809326171875,-0.9178924560546875,-0.40557861328125,-0.064208984375
1758447384051781400,0.405781494140625,-0.902069091796875,-0.4123382568359375,-0.058624267578125
1758447384061753300,0.41575341796875,-0.888641357421875,-0.4164276123046875,-0.0575103759765625
1758447384071725300,0.425725341796875,-0.8818817138671875,-0.4215545654296875,-0.06060791015625
1758447384081698300,0.4356982421875,-0.8843536376953125,-0.425506591796875,-0.06463623046875
1758447384091670300,0.445670166015625,-0.8905487060546875,-0.4248199462890625,-0.069305419921875
1758447384101642500,0.455642578125,-0.899261474609375,-0.425323486328125,-0.071533203125
1758447384111615500,0.465615478515625,-0.906768798828125,-0.4188079833984375,-0.071197509765625
1758447384121587200,0.475587158203125,-0.9002685546875,-0.4094085693359375,-0.0700225830078125
1758447384131559400,0.485559326171875,-0.8950042724609375,-0.40484619140625,-0.0648956298828125
1758447384141531100,0.49553125,-0.8928680419921875,-0.4016876220703125,-0.053466796875
1758447384151504400,0.50550439453125,-0.8851318359375,-0.4000244140625,-0.0422210693359375
1758447384161476400,0.515476318359375,-0.8726348876953125,-0.3977203369140625,-0.03668212890625
1758447384171448300,0.5254482421875,-0.867431640625,-0.3969268798828125,-0.031982421875
1758447384181421300,0.53542138671875,-0.8689727783203125,-0.395965576171875,-0.029571533203125
1758447384191393300,0.545393310546875,-0.881103515625,-0.3875274658203125,-0.02703857421875
1758447384201365200,0.555365234375,-0.904205322265625,-0.3824310302734375,-0.02825927734375
1758447384211337200,0.565337158203125,-0.9288787841796875,-0.3798828125,-0.0303802490234375
1758447384221310500,0.575310546875,-0.9486541748046875,-0.379302978515625,-0.0374908447265625
1758447384231282200,0.5852822265625,-0.9562835693359375,-0.3807525634765625,-0.0403289794921875
1758447384241254400,0.59525439453125,-0.9401702880859375,-0.380157470703125,-0.0401611328125
1758447384251227400,0.605227294921875,-0.9119110107421875,-0.3834228515625,-0.0344085693359375
1758447384261199400,0.615199462890625,-0.8927459716796875,-0.3944244384765625,-0.0348968505859375
1758447384271171300,0.62517138671875,-0.8921051025390625,-0.4009552001953125,-0.0350341796875
1758447384281143600,0.6351435546875,-0.896240234375,-0.40093994140625,-0.0442352294921875
