time,seconds_elapsed,z,y,x
1758447617775166500,0.01416650390625,-0.00007423427999019622,-0.13676526270508765,-0.361975774647668
1758447617785138400,0.024138427734375,-0.5226075775653124,0.016585224097967147,-0.4154201453916728
1758447617795111400,0.034111328125,-0.9532195930004119,0.2523053665518761,-0.35346309010721744
1758447617805084400,0.04408447265625,-1.133390282189846,0.4973828276768327,-0.11786956970766187
1758447617815057400,0.054057373046875,-0.9982336237251758,0.6341068815886974,0.15127090405002236
1758447617825030400,0.064030517578125,-0.7037620170950889,0.6423670526728034,0.347051031107828
1758447617835002400,0.07400244140625,-0.22506255483925341,0.5696355784609913,0.4805667539650574
1758447617844975400,0.083975341796875,0.21558394787609575,0.42837183529287576,0.5762758567256853
1758447617854948600,0.093948486328125,0.6249363176614046,0.2675681098744273,0.653194151635468
1758447617864921300,0.10392138671875,0.9112164345294237,0.12260317410081624,0.6559128360096365
1758447617874893300,0.113893310546875,1.0983540401220322,0.07916384534686803,0.664842796114087
1758447617884866600,0.123866455078125,1.0706249061971902,0.08811082965135573,0.6406750809978693
1758447617894839600,0.133839599609375,0.7919231156289577,0.06075023677796125,0.5650165768908336
1758447617904812300,0.143812255859375,0.2934954550743103,-0.006152385149896145,0.3952153425570577
1758447617914785300,0.153785400390625,-0.1915712041258812,0.04965922618210315,0.25570311923138794
1758447617924757500,0.163757568359375,-0.4471241742968559,0.09273995075672864,0.17406400634478778
1758447617934730500,0.17373046875,-0.35521219879686833,0.09713906249850988,0.09394784697545691
1758447617944703200,0.183703125,-0.1227028350830078,0.070666942897439,0.04271147113712504
1758447617954676500,0.193676513671875,-0.03285480637550354,-0.0009790741652250289,-0.012437328904587775
1758447617964649500,0.2036494140625,-0.1317395434975624,-0.0559641715452075,-0.026379290218465027
1758447617974621400,0.213621337890625,-0.22773089726567267,-0.10060235469490289,0.0035016879780218
1758447617984594400,0.223594482421875,-0.30412907729148864,-0.11901391743719578,0.06943783036074601
1758447617994567400,0.2335673828125,-0.2970464255541563,-0.04277268153876066,0.09087290564267896
1758447618004540400,0.24354052734375,-0.24354338342547416,-0.008266016303002834,0.06365752535967621
1758447618014512600,0.2535126953125,-0.3745832542210817,-0.027987200339138506,0.022426661868859082
1758447618024485400,0.2634853515625,-0.5207756859630346,0.015527823999524116,-0.08759561927136965
1758447618034458400,0.273458251953125,-0.5160568407475948,0.07363368374854326,-0.16952457281686364
1758447618044431400,0.283431396484375,-0.3818120364308357,0.0839648158878088,-0.18894830827638506
1758447618054404600,0.293404541015625,-0.19664836125969887,0.04314122259020805,-0.13594444784149526
1758447618064376300,0.303376220703125,-0.06431728160977364,-0.008660860839486122,-0.09251180455666035
1758447618074349300,0.313349365234375,-0.0050970308780670165,-0.02237199080586433,-0.08117584275640546
1758447618084322600,0.323322509765625,0.09329086263775825,-0.0374728215649724,-0.0850456699270755
1758447618094295600,0.333295654296875,0.22270868518948553,-0.0707607586607337,-0.13273554139812477
1758447618104267300,0.343267333984375,0.33987668249905106,-0.130930857463181,-0.22328060332592575
1758447618114240500,0.353240478515625,0.4650269107341766,-0.17404840691685675,-0.28846929747536776
1758447618124213500,0.363213623046875,0.4738198735207319,-0.3009051468089223,-0.30672983437441287
1758447618134186500,0.3731865234375,0.3806494223922491,-0.31810411889106033,-0.35281467266846445
1758447618144159500,0.383159423828125,0.26890169656574725,-0.16898615509122608,-0.326556524611637
1758447618154131500,0.39313134765625,0.2213853276312351,0.0057578328743577,-0.23369484717138111
1758447618164104400,0.4031044921875,0.2171726783722639,0.12519202155023812,-0.0930048579037655
1758447618174077400,0.413077392578125,0.20670564489364623,0.16919103001356123,-0.007884369174810125
1758447618184050400,0.423050537109375,0.22496435516178606,0.14111848947852848,-0.04380621670442633
1758447618194023400,0.4330234375,0.22591478775441645,0.10080284570306539,-0.06625738282687961
1758447618203995400,0.442995361328125,0.14668985987007618,0.10111293456554413,-0.028569347608648238
1758447618213968600,0.45296875,-0.00040039749443531033,0.14538725283890963,0.020879359361622482
1758447618223941600,0.462941650390625,-0.04022212027311325,0.24499738162606954,0.037037663284409786
1758447618233914400,0.472914306640625,0.0075707275152206415,0.21097090112268924,0.022080350915528832
1758447618243886600,0.482886474609375,0.14201134666502474,0.23547815039157866,0.0689255243238993
1758447618253859600,0.492859619140625,0.26441490654051303,0.31194588852226734,0.0828557586673647
1758447618263832600,0.50283251953125,0.2056272020071745,0.3259770442232489,0.1154054628827609
1758447618273805300,0.512805419921875,0.08650748610794544,0.33123072696775196,0.1725241382253356
1758447618283777500,0.522777587890625,0.022146949878334998,0.32452684541493654,0.25845634519597516
1758447618293750500,0.53275048828125,0.05466565616726875,0.3216422298893332,0.2948184473063797
1758447618303723500,0.5427236328125,0.19766835195720195,0.29159692797660824,0.3280566269762814
1758447618313696500,0.552696533203125,0.3919681042641401,0.19999153420776128,0.2826611226532608
1758447618323669500,0.56266943359375,0.5234603950023651,0.016747136661410332,0.17824310039402916
1758447618333641500,0.572641357421875,0.595554155832529,-0.0982625135704875,0.10366572432089596
1758447618343614500,0.582614501953125,0.58536944642663,-0.14329057282060384,0.08166437519202008
1758447618353587500,0.59258740234375,0.5149924263864756,-0.09238982214480639,0.11726458955183625
1758447618363560400,0.602560546875,0.4685036469340324,0.016793606151640415,0.15823234056048094
1758447618373533400,0.612533447265625,0.4022439990848303,0.05929360822886228,0.15038751794476993
1758447618383505700,0.622505615234375,0.28916180978417394,0.05354454318284988,0.1298832024406176
1758447618393478400,0.632478515625,0.1939057845532894,0.11342764173746109,0.09214174740156159
